,forks_count,language,stargazers,topics,url,watchers_count
947,29,Jupyter Notebook,73,"['ai', 'artificial-intelligence', 'deep-learning', 'machine-learning']",https://api.github.com/repos/AccelAI/AI-DL-Enthusiasts-Meetup,73
948,27,Clojure,73,"['clojure', 'machine-learning', 'natural-language-processing', 'parsing']",https://api.github.com/repos/clojurenlp/core,73
949,31,Python,73,"['ai', 'interest-rates', 'machine-learning', 'python', 'q-learning', 'reinforcement-learning', 'rl', 'simulation', 'tile-coding', 'trade', 'trading']",https://api.github.com/repos/ucaiado/rl_trading,73
950,22,HTML,72,"['convolutional-attention-network', 'machine-learning', 'ml4code']",https://api.github.com/repos/mast-group/convolutional-attention,72
951,14,Python,72,"['deep-learning', 'machine-learning', 'python3', 'pytorch']",https://api.github.com/repos/SSARCandy/DeepCORAL,72
952,13,Java,72,"['database', 'integration', 'machine-learning', 'open-source', 'tool-blending', 'workflow']",https://api.github.com/repos/knime/knime-core,72
953,30,Java,72,"['andriod', 'android-apps', 'deep-learning', 'demo', 'machine-learning', 'tensorflow']",https://api.github.com/repos/omimo/TFDroid,72
954,39,Python,72,"['borg', 'decision-making', 'economics', 'information-retrieval', 'intercom', 'machine-learning', 'principles', 'psychology', 'retrieval', 'statistical-learning']",https://api.github.com/repos/yowenter/books,72
955,16,Python,71,['machine-learning'],https://api.github.com/repos/fukatani/stacked_generalization,71
956,12,Ruby,71,"['language-processing', 'machine-learning', 'natural-language-processing', 'nlp', 'rubynlp', 'text-classification']",https://api.github.com/repos/monkeylearn/monkeylearn-ruby,71
957,7,Swift,71,"['coreml', 'flower-classification', 'ios', 'machine-learning', 'swift', 'swift4', 'vision']",https://api.github.com/repos/cocoa-ai/FlowersVisionDemo,71
958,13,Python,71,"['arxiv', 'computer-vision', 'deep-learning', 'machine-learning', 'neural-network', 'nima', 'python', 'pytorch']",https://api.github.com/repos/truskovskiyk/nima.pytorch,71
959,13,Python,71,"['data-augmentation', 'machine-learning', 'music', 'nyucds', 'python']",https://api.github.com/repos/bmcfee/muda,71
960,9,C++,71,"['automatic-differentiation', 'computation-graph', 'cpp11', 'cpp14', 'dali', 'deep-learning', 'jit', 'machine-learning', 'neural-network', 'numerical-calculations', 'optimization', 'recurrent-neural-networks', 'runtime-compilation']",https://api.github.com/repos/dali-ml/Dali,71
961,11,PHP,71,"['ai', 'api-client', 'artificial-intelligence', 'client', 'google', 'google-cloud-platform', 'machine-learning', 'natural-language-processing', 'php']",https://api.github.com/repos/darrynten/google-natural-language-php,71
962,12,Python,70,"['data-science', 'machine-learning', 'python', 'time-series']",https://api.github.com/repos/dmbee/seglearn,70
963,8,C++,70,"['machine-learning', 'ml', 'ruby', 'rubyml']",https://api.github.com/repos/kei500/liblinear-ruby,70
964,7,Objective-C,70,"['computer-vision-tools', 'machine-learning', 'metadata', 'synopsis', 'transcode', 'video']",https://api.github.com/repos/Synopsis/Synopsis-Analyzer,70
965,20,Python,70,"['machine-learning', 'neural-network', 'time-series']",https://api.github.com/repos/hawk31/nnet-ts,70
966,130,Jupyter Notebook,69,"['contest', 'data-science', 'fun', 'geophysics', 'geoscience', 'machine-learning']",https://api.github.com/repos/seg/2016-ml-contest,69
967,4,,69,"['artificial-intelligence', 'conversion-rate-optimization', 'data-driven-design', 'front-end-development', 'machine-learning', 'product-development', 'user-experience', 'user-interface']",https://api.github.com/repos/Morphl-Project/MorphL-AI,69
968,6,Python,69,"['data-science', 'gun-violence-archive', 'machine-learning', 'statistics']",https://api.github.com/repos/jamesqo/gun-violence-data,69
969,36,Java,69,"['computer-vision', 'detection', 'first-ftc', 'ftcvision', 'machine-learning', 'opencv', 'robot-controller', 'robotics-competition']",https://api.github.com/repos/lasarobotics/FTCVision,69
970,5,C#,69,"['artificial-intelligence', 'artificial-neural-networks', 'framework', 'learning', 'machine', 'machine-learning', 'neural-network', 'sigma']",https://api.github.com/repos/ThinkingTransistor/Sigma,69
