top_repos/Dash-User-Contributions, 9, 865, 84, 29, 0, 28, 88, 19, 5, 9, 168, 22, 0, 53, 29, 1, 0, 2
top_repos/twitter-scraper, 2, 183, 20, 3, 0, 37, 0, 7, 0, 0, 12, 0, 0, 0, 3, 0, 0, 0
top_repos/Firefly, 104, 7663, 591, 798, 575, 54, 73, 1562, 222, 21, 139, 30, 0, 7, 791, 67, 0, 16
top_repos/kalliope, 203, 16242, 1207, 2371, 6220, 46, 10, 21, 13, 0, 1562, 7, 0, 0, 37, 4, 0, 15
top_repos/backoff, 14, 2048, 106, 130, 1301, 240, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
top_repos/lemongraph, 22, 6374, 261, 16, 391, 203, 14, 143, 97, 5, 284, 16, 0, 5, 0, 1, 0, 7
top_repos/djangae, 610, 87987, 6796, 6554, 32039, 63, 153, 911, 429, 38, 8047, 57, 0, 0, 18, 30, 0, 51
top_repos/common-workflow-language, 41, 6141, 592, 228, 275, 236, 40, 44, 95, 11, 287, 10, 0, 0, 0, 0, 0, 3
top_repos/pint, 45, 12698, 759, 1392, 5675, 57, 62, 192, 55, 3, 638, 50, 0, 128, 19, 4, 0, 38
top_repos/keras-dcgan, 1, 163, 1, 0, 0, 25, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
top_repos/rasterio, 150, 23515, 961, 3649, 14078, 231, 24, 83, 51, 0, 262, 17, 0, 0, 11, 5, 0, 3
top_repos/htmlPy, 24, 1846, 197, 549, 330, 69, 6, 49, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0
top_repos/NoSQLMap, 6, 2646, 105, 0, 0, 56, 9, 389, 22, 0, 146, 91, 0, 30, 5, 0, 0, 12
top_repos/iScript, 13, 8019, 486, 23, 0, 1010, 198, 382, 88, 20, 389, 80, 0, 0, 0, 0, 0, 11
top_repos/kartograph.py, 53, 6856, 603, 705, 54, 0, 1060, 9222, 1113, 636, 13568, 3074, 0, 0, 318, 53, 0, 53
top_repos/haipproxy, 45, 3240, 138, 303, 0, 107, 0, 1, 0, 0, 126, 1, 0, 0, 9, 6, 0, 0
top_repos/Quads, 1, 156, 2, 0, 0, 22, 0, 0, 17, 0, 0, 1, 0, 0, 0, 0, 0, 0
top_repos/pygraphistry, 15, 5297, 550, 1000, 369, 153, 15, 162, 83, 28, 214, 10, 0, 0, 32, 0, 0, 4
top_repos/marshmallow, 35, 12554, 446, 1100, 7476, 88, 68, 16, 243, 1, 342, 10, 0, 0, 0, 0, 0, 1
top_repos/API-Hour, 49, 1562, 275, 61, 27, 65, 16, 48, 19, 7, 88, 0, 0, 0, 21, 0, 0, 2
top_repos/zhao, 1, 301, 5, 0, 0, 70, 2, 76, 12, 0, 4, 0, 0, 0, 0, 0, 0, 0
top_repos/cinder, 1129, 471187, 30747, 33630, 239603, 23, 1, 179, 16, 296, 15, 14, 0, 0, 0, 1, 0, 12
top_repos/onetimepass, 5, 871, 175, 269, 0, 104, 6, 42, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0
top_repos/vdirsyncer, 75, 10153, 321, 120, 3367, 37, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
top_repos/Design-Patterns-in-Python, 24, 1336, 105, 102, 0, 2, 68, 6, 53, 0, 6, 5, 1, 0, 0, 2, 0, 1
top_repos/guake, 27, 5606, 1083, 834, 107, 41, 0, 42, 0, 72, 0, 2, 0, 0, 0, 0, 0, 14
top_repos/apartment-finder, 4, 366, 54, 37, 0, 76, 0, 12, 8, 0, 26, 0, 0, 0, 1, 0, 0, 0
top_repos/cookiecutter-django-rest, 22, 641, 46, 21, 86, 45, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0
top_repos/pybrain, 451, 38107, 3464, 5699, 3227, 21, 257, 3000, 508, 32, 2158, 423, 0, 19, 1142, 194, 0, 0
top_repos/personal-sites, 0, 0, 0, 0, 0, 655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
top_repos/open-reid, 50, 3027, 209, 49, 234, 20, 5, 16, 1, 1, 15, 7, 0, 0, 1, 2, 0, 0
top_repos/PlexConnect, 14, 4506, 551, 422, 0, 71, 26, 618, 134, 19, 418, 78, 0, 7, 540, 0, 0, 12
top_repos/bi-att-flow, 51, 7153, 238, 190, 0, 132, 3, 7, 18, 0, 738, 15, 0, 0, 10, 11, 0, 0
top_repos/tern_for_vim, 1, 477, 10, 0, 0, 48, 211, 17, 34, 2, 9, 29, 0, 0, 0, 0, 0, 1
top_repos/cppimport, 14, 765, 31, 26, 135, 94, 5, 109, 54, 0, 20, 1, 0, 0, 0, 0, 0, 0
top_repos/python-lambda, 8, 878, 60, 106, 0, 133, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
top_repos/django-secure, 20, 1549, 141, 165, 840, 68, 0, 40, 113, 1, 19, 4, 0, 0, 0, 0, 0, 0
top_repos/WeRoBot, 54, 9267, 338, 2483, 4394, 67, 6, 44, 7, 1, 125, 10, 0, 0, 0, 0, 0, 0
top_repos/nsupdate.info, 72, 6223, 672, 699, 990, 51, 8, 40, 0, 48, 530, 1, 0, 0, 0, 0, 0, 0
top_repos/labs, 22, 1990, 451, 253, 0, 26, 8, 31, 5, 0, 92, 10, 0, 0, 4, 2, 0, 2
top_repos/drcom-generic, 27, 9396, 1731, 64, 1844, 64, 653, 3422, 439, 17, 187, 112, 0, 901, 306, 11, 0, 0
top_repos/twython, 26, 3950, 356, 1191, 1101, 133, 16, 57, 1, 2, 139, 2, 0, 0, 1, 3, 0, 12
top_repos/budou, 11, 1600, 183, 204, 777, 162, 259, 4, 12, 2, 7, 12, 0, 0, 1, 2, 0, 0
top_repos/Python-100-Days, 227, 8111, 718, 1436, 210, 207, 7, 189, 3, 0, 74, 0, 0, 1367, 12, 5, 0, 1
top_repos/pgoapi, 416, 48044, 1980, 314, 0, 53, 14, 3658, 565, 2275, 4001, 14, 0, 9, 22, 0, 0, 0
